epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.2885,2.98439,5.98984,2.86685,0,0,0,0,4.51281,5.96862,2.85969,0,0,0
2,9.7855,3.78537,7.38563,2.65392,0,0,0,0,4.45469,5.97774,2.82966,2.67066e-06,2.67066e-06,2.67066e-06
3,14.416,3.93955,5.95211,3.272,0,0,0,0,4.36748,6.00641,2.77629,4.02264e-06,4.02264e-06,4.02264e-06
4,17.681,4.48319,6.02092,3.01852,0,0,0,0,4.28231,5.99375,2.73123,4.05594e-06,4.05594e-06,4.05594e-06
5,22.7762,4.09621,6.50254,3.48551,0,0,0,0,4.19736,5.97479,2.69869,2.77056e-06,2.77056e-06,2.77056e-06
